strategy,day,critical,deceased,reward,economic_index
Holon_DESCENDING_1.0,21,1,0,-26882203.456072000,26882203.648
Holon_DESCENDING_1.0,22,1,0,-26788227.11537290,53670430.928000000
Holon_DESCENDING_1.0,23,1,0,-26693210.92108270,80363641.984
Holon_DESCENDING_1.0,24,1,0,53198773.43293990,106963028.648
Holon_DESCENDING_1.0,25,1,0,106004210.69762400,133464081.304
Holon_DESCENDING_1.0,26,1,0,105605761.34895500,159865521.632
Holon_DESCENDING_1.0,27,1,0,105177049.1451530,186159847.152
Holon_DESCENDING_1.0,28,1,0,52362626.129711200,212341297.792
Holon_DESCENDING_1.0,29,1,0,52143838.02912980,238413365.824
Holon_DESCENDING_1.0,30,2,0,51920853.45130100,264373954.08
Holon_DESCENDING_1.0,31,2,0,51682629.71532150,290215445.25600000
Holon_DESCENDING_1.0,32,2,0,51429762.86061080,315930519.06400000
Holon_DESCENDING_1.0,33,2,0,51171725.42830850,341516591.15200000
Holon_DESCENDING_1.0,34,2,0,-25448625.635628300,366964759.0960000
Holon_DESCENDING_1.0,35,2,0,-25309199.321500600,392273460.17600000
Holon_DESCENDING_1.0,36,3,0,-25157261.360491400,417430177.3920000
Holon_DESCENDING_1.0,37,5,0,-24999274.267460800,442428856.9280000
Holon_DESCENDING_1.0,38,7,0,-24832531.749849700,467260741.3520000
Holon_DESCENDING_1.0,39,11,0,49310611.228363400,491916400.27200000
Holon_DESCENDING_1.0,40,15,0,-24481762.039832100,516397398.2880000
Holon_DESCENDING_1.0,41,16,0,-24287368.538716100,540683933.4800000
Holon_DESCENDING_1.0,42,17,0,-24088710.782611100,564771737.7120000
Holon_DESCENDING_1.0,43,21,0,-23877309.622377100,588648064.3680000
Holon_DESCENDING_1.0,44,25,0,-23649035.566896100,612296030.2480000
Holon_DESCENDING_1.0,45,24,1,46854601.259767800,635723907.2080000
Holon_DESCENDING_1.0,46,32,1,-23221077.965589700,658943754.2240000
Holon_DESCENDING_1.0,47,37,3,46001331.14918180,681945076.0240000
Holon_DESCENDING_1.0,48,36,4,45533977.783995900,704712766.5760000
Holon_DESCENDING_1.0,49,41,5,45006744.19956230,727216893.0640000
Holon_DESCENDING_1.0,50,50,8,44572337.84736600,749503857.5280000
Holon_DESCENDING_1.0,51,50,8,47403515.61585610,773206477.1880000
Holon_DESCENDING_1.0,52,50,8,46940005.77638990,796677400.4780000
Holon_DESCENDING_1.0,53,50,8,46496037.83941830,819926396.2080000
Holon_DESCENDING_1.0,54,49,8,92120540.12986620,842957047.3480000
Holon_DESCENDING_1.0,55,48,8,91168020.26938910,865749598.7680000
Holon_DESCENDING_1.0,56,48,8,90160190.14220200,888290224.7080000
Holon_DESCENDING_1.0,57,47,8,88990009.12105710,910538342.8980000
Holon_DESCENDING_1.0,58,47,8,87838922.08412750,932498726.0980000
Holon_DESCENDING_1.0,59,47,8,86571497.27081020,954142293.6780000
Holon_DESCENDING_1.0,60,47,8,85342884.2476436,975478747.4480000
Holon_DESCENDING_1.0,61,47,8,42055649.3074448,996508116.0080000
Holon_DESCENDING_1.0,62,46,8,41476605.91840760,1017248037.1480000
Holon_DESCENDING_1.0,63,46,8,40905913.335305900,1037702685.4680000
Holon_DESCENDING_1.0,64,45,8,40373114.46164530,1057891002.9380000
Holon_DESCENDING_1.0,65,45,8,39834822.53884500,1077810243.3680000
Holon_DESCENDING_1.0,66,46,8,39319123.73681910,1097471700.5080000
Holon_DESCENDING_1.0,67,49,8,38844871.156341900,1116896091.8480000
Holon_DESCENDING_1.0,68,52,8,38396354.10726280,1136096281.8080000
Holon_DESCENDING_1.0,69,55,8,37992559.95504430,1155094625.9480000
Holon_DESCENDING_1.0,70,60,8,37607918.18977220,1173900697.7180000
Holon_DESCENDING_1.0,71,63,8,37339234.377511900,1192572461.7080000
Holon_DESCENDING_1.0,72,64,8,74073827.04346630,1211092011.3080000
Holon_DESCENDING_1.0,73,71,8,73625877.63869020,1229499587.4080000
Holon_DESCENDING_1.0,74,75,8,73270186.02163500,1247818251.6780000
Holon_DESCENDING_1.0,75,76,8,73047714.42541900,1266081305.0080000
Holon_DESCENDING_1.0,76,77,8,72841914.63810630,1284292914.7480000
Holon_DESCENDING_1.0,77,79,8,72806022.45240730,1302495552.2780000
Holon_DESCENDING_1.0,78,82,8,72886310.50778400,1320718258.9780000
Holon_DESCENDING_1.0,79,87,8,73113654.3188388,1338997793.6680000
Holon_DESCENDING_1.0,80,86,8,73244798.30264580,1357310110.0380000
Holon_DESCENDING_1.0,81,86,8,83630343.44151990,1378218870.0380000
Holon_DESCENDING_1.0,82,86,8,81936376.54349140,1398704190.0380000
Holon_DESCENDING_1.0,83,86,8,80392795.84606570,1418803662.0380000
Holon_DESCENDING_1.0,84,86,8,118349465.1708980,1438529452.0380000
Holon_DESCENDING_1.0,85,86,8,77430377.84142990,1457888410.0380000
Holon_DESCENDING_1.0,86,86,8,75860930.06596110,1476855054.0380000
Holon_DESCENDING_1.0,87,86,8,111577265.53204100,1495452236.0380000
Holon_DESCENDING_1.0,88,86,8,109157424.40345400,1513646144.0380000
Holon_DESCENDING_1.0,89,86,8,107135463.66123300,1531503086.0380000
Holon_DESCENDING_1.0,90,86,8,70342103.70686320,1549090192.0380000
Holon_DESCENDING_1.0,91,86,8,69431872.49582720,1566449768.0380000
Holon_DESCENDING_1.0,92,87,8,68697742.96492100,1583625834.0380000
Holon_DESCENDING_1.0,93,87,8,68083027.75360670,1600648240.0380000
Holon_DESCENDING_1.0,94,90,8,67712943.1888955,1617578136.0380000
Holon_DESCENDING_1.0,95,93,8,67470226.01439990,1634447360.0380000
Holon_DESCENDING_1.0,96,96,8,67377023.174335,1651293286.0380000
Holon_DESCENDING_1.0,97,98,8,67397753.9847222,1668144394.0380000
Holon_DESCENDING_1.0,98,104,8,67588858.47523920,1685043272.0380000
Holon_DESCENDING_1.0,99,108,8,67842754.19246600,1702005616.0380000
Holon_DESCENDING_1.0,100,111,8,68223081.1660805,1719063030.0380000
Holon_DESCENDING_1.0,101,113,8,68666919.63406080,1736231390.0380000
Holon_DESCENDING_1.0,102,118,8,69222972.42163300,1753538746.0380000
Holon_DESCENDING_1.0,103,123,9,104722349.75935600,1770993534.0380000
Holon_DESCENDING_1.0,104,127,9,70322068.65849780,1788575630.0380000
Holon_DESCENDING_1.0,105,139,11,70839510.76951080,1806287070.0380000
Holon_DESCENDING_1.0,106,143,11,107209460.65738400,1824156342.0380000
Holon_DESCENDING_1.0,107,142,12,108162290.54525800,1842184406.0380000
Holon_DESCENDING_1.0,108,146,13,109254020.47764800,1860394410.0380000
Holon_DESCENDING_1.0,109,151,13,110158763.0198230,1878755192.0380000
Holon_DESCENDING_1.0,110,151,14,111041975.42075000,1897263164.0380000
Holon_DESCENDING_1.0,111,150,14,93368333.79205990,1912825537.3080000
Holon_DESCENDING_1.0,112,149,14,92755863.91149910,1928285841.0080000
Holon_DESCENDING_1.0,113,147,14,92332526.07943330,1943675594.3580000
Holon_DESCENDING_1.0,114,147,14,91922516.53181920,1958997018.5380000
Holon_DESCENDING_1.0,115,147,14,91465934.1031943,1974242352.0480000
Holon_DESCENDING_1.0,116,147,14,91122975.08549440,1989430530.4280000
Holon_DESCENDING_1.0,117,146,14,90765035.64185910,2004559057.2080000
Holon_DESCENDING_1.0,118,143,14,90537199.65211650,2019649614.4680000
Holon_DESCENDING_1.0,119,142,14,90342908.73424500,2034707792.5180000
Holon_DESCENDING_1.0,120,140,14,90263363.51347060,2049752713.9680000
Holon_DESCENDING_1.0,121,139,14,90340196.99228810,2064810439.5480000
Holon_DESCENDING_1.0,122,139,14,90482301.69187990,2079891846.8580000
Holon_DESCENDING_1.0,123,139,14,60427001.0250633,2095000128.6080000
Holon_DESCENDING_1.0,124,139,14,91010111.54502140,2110169495.8180000
Holon_DESCENDING_1.0,125,140,14,60939930.38450660,2125405991.9080000
Holon_DESCENDING_1.0,126,142,14,61265510.99218550,2140723871.8080000
Holon_DESCENDING_1.0,127,143,14,61597663.17517630,2156124778.2780000
Holon_DESCENDING_1.0,128,145,14,92857540.28012400,2171602021.6380000
Holon_DESCENDING_1.0,129,144,14,62267494.22560950,2187170362.6180000
Holon_DESCENDING_1.0,130,140,14,93903631.3594605,2202821938.5880000
Holon_DESCENDING_1.0,131,141,14,94524180.99634420,2218576930.018
Holon_DESCENDING_1.0,132,142,14,63359147.01909840,2234418146.758
Holon_DESCENDING_1.0,133,143,14,63642990.39217500,2250330314.4380000
Holon_DESCENDING_1.0,134,144,14,95986226.70875730,2266328957.648
Holon_DESCENDING_1.0,135,146,15,64365438.175490200,2282421712.2480000
Holon_DESCENDING_1.0,136,145,16,97011420.72043790,2298591205.2680000
Holon_DESCENDING_1.0,137,145,16,97516931.26491260,2314844942.3280000
Holon_DESCENDING_1.0,138,145,16,97988710.3313441,2331177302.0280000
Holon_DESCENDING_1.0,139,142,16,98409556.41379700,2347579796.3180000
Holon_DESCENDING_1.0,140,140,18,98862228.58194900,2364057728.9880000
Holon_DESCENDING_0.75,21,2,0,-53990049.48486040,26995024.912
Holon_DESCENDING_0.75,22,2,0,53765105.70041870,53877577.6
Holon_DESCENDING_0.75,23,2,0,53550053.126500600,80652604.008
Holon_DESCENDING_0.75,24,2,0,53327438.71097670,107316323.216
Holon_DESCENDING_0.75,25,2,0,53100772.645043800,133866709.4
Holon_DESCENDING_0.75,26,2,0,52862027.24334900,160297722.896
Holon_DESCENDING_0.75,27,2,0,52617047.37417460,186606246.472
Holon_DESCENDING_0.75,28,2,0,52371775.05860620,212792133.90400000
Holon_DESCENDING_0.75,29,2,0,-26056993.521794800,238849127.584
Holon_DESCENDING_0.75,30,2,0,-25926217.737140000,264775345.44
Holon_DESCENDING_0.75,31,3,0,51594564.030444200,290572627.416
Holon_DESCENDING_0.75,32,3,0,-25663927.127324700,316236554.576
Holon_DESCENDING_0.75,33,3,0,-25521101.781991700,341757396.064
Holon_DESCENDING_0.75,34,2,0,-25379948.705959000,367137058.112
Holon_DESCENDING_0.75,35,3,0,-25217117.96376040,392353852.08
Holon_DESCENDING_0.75,36,3,0,-25053491.329315900,417406980.33600000
Holon_DESCENDING_0.75,37,3,0,49797480.46177310,442305919.56800000
Holon_DESCENDING_0.75,38,2,1,-24745856.420519900,467051344.12800000
Holon_DESCENDING_0.75,39,4,1,-24588964.065185000,491639839.664
Holon_DESCENDING_0.75,40,6,1,-24431892.37681370,516071226.04000000
Holon_DESCENDING_0.75,41,8,1,-24258304.750077000,540328979.288
Holon_DESCENDING_0.75,42,10,1,-24074584.54122090,564402960.536
Holon_DESCENDING_0.75,43,12,1,-23872919.02530840,588275215.9120000
Holon_DESCENDING_0.75,44,15,2,-23651040.246784800,611925522.3840000
Holon_DESCENDING_0.75,45,17,2,46871182.90576540,635361514.248
Holon_DESCENDING_0.75,46,20,2,46422351.45357130,658573126.72
Holon_DESCENDING_0.75,47,19,2,-22985295.979367100,681557470.9200000
Holon_DESCENDING_0.75,48,20,3,-22745765.70218590,704302200.264
Holon_DESCENDING_0.75,49,23,3,-22472179.101656300,726773243.44
Holon_DESCENDING_0.75,50,30,4,44307491.13955070,748927617.8640000
Holon_DESCENDING_0.75,51,30,4,-27659422.79940900,776585631.8640000
Holon_DESCENDING_0.75,52,30,4,54712107.85679410,803942463.8640000
Holon_DESCENDING_0.75,53,30,4,54154983.75448590,831020801.8640000
Holon_DESCENDING_0.75,54,30,4,53520352.648708800,857781901.8640000
Holon_DESCENDING_0.75,55,30,4,52861931.654533,884213871.8640000
Holon_DESCENDING_0.75,56,30,4,104193252.29639000,910262733.8640000
Holon_DESCENDING_0.75,57,30,4,102512654.87156900,935891497.8640000
Holon_DESCENDING_0.75,58,30,4,50323407.23142480,961054515.8640000
Holon_DESCENDING_0.75,59,30,4,49309247.38336690,985710577.8640000
Holon_DESCENDING_0.75,60,30,4,48316024.48691710,1009870149.8640000
Holon_DESCENDING_0.75,61,32,4,47160946.512911700,1033452323.8640000
Holon_DESCENDING_0.75,62,34,4,46074933.40113910,1056491623.8640000
Holon_DESCENDING_0.75,63,38,4,-22480998.810886000,1078968681.864
Holon_DESCENDING_0.75,64,47,4,43811430.300543900,1100876505.864
Holon_DESCENDING_0.75,65,55,4,42635712.44554840,1122196613.864
Holon_DESCENDING_0.75,66,68,4,-20719949.171427300,1142911765.864
Holon_DESCENDING_0.75,67,80,4,40195648.39381610,1163012137.864
Holon_DESCENDING_0.75,68,96,5,38920303.92201620,1182474991.864
Holon_DESCENDING_0.75,69,115,5,37736597.93319340,1201346135.864
Holon_DESCENDING_0.75,70,130,5,36584118.76956020,1219641179.864
Holon_DESCENDING_0.75,71,155,5,35488303.39754190,1237388447.864
Holon_DESCENDING_0.75,72,178,6,34401298.16675950,1254592343.864
Holon_DESCENDING_0.75,73,207,9,33393397.946854500,1271292409.864
Holon_DESCENDING_0.75,74,241,11,32524120.120551600,1287557939.864
Holon_DESCENDING_0.75,75,271,15,31846113.13378440,1303484545.864
Holon_DESCENDING_0.75,76,313,19,62466111.27690460,1319102883.864
Holon_DESCENDING_0.75,77,351,23,61645666.93610550,1334516133.864
Holon_DESCENDING_0.75,78,374,29,61155293.137553,1349806803.864
Holon_DESCENDING_0.75,79,413,40,60983506.69902790,1365054529.864
Holon_DESCENDING_0.75,80,446,45,61117474.65410480,1380335741.864
Holon_DESCENDING_0.75,81,446,45,57861724.51805060,1394803115.864
Holon_DESCENDING_0.75,82,446,45,54878695.83880780,1408524823.864
Holon_DESCENDING_0.75,83,446,45,52139664.86921330,1421561857.864
Holon_DESCENDING_0.75,84,446,45,74366771.17815080,1433957783.864
Holon_DESCENDING_0.75,85,446,45,70595439.64314160,1445725205.864
Holon_DESCENDING_0.75,86,446,45,67229225.16346200,1456931637.864
Holon_DESCENDING_0.75,87,446,45,63897537.49415440,1467582833.864
Holon_DESCENDING_0.75,88,446,45,60787807.891525000,1477715783.864
Holon_DESCENDING_0.75,89,448,45,58076475.0765706,1487396881.864
Holon_DESCENDING_0.75,90,458,45,56081422.08239480,1496745497.864
Holon_DESCENDING_0.75,91,465,45,54661863.39244570,1505857539.864
Holon_DESCENDING_0.75,92,477,45,53719248.58301570,1514812491.864
Holon_DESCENDING_0.75,93,494,45,35707807.08128130,1523742061.864
Holon_DESCENDING_0.75,94,522,45,53862223.987966300,1532720839.864
Holon_DESCENDING_0.75,95,551,45,54741264.67097770,1541846111.864
Holon_DESCENDING_0.75,96,590,46,55616947.227570600,1551117317.864
Holon_DESCENDING_0.75,97,641,46,56815374.02171210,1560588243.864
Holon_DESCENDING_0.75,98,692,47,58395876.26525630,1570322563.864
Holon_DESCENDING_0.75,99,759,51,59968941.988308900,1580319037.864
Holon_DESCENDING_0.75,100,821,54,61634941.86741470,1590593153.864
Holon_DESCENDING_0.75,101,878,57,63338948.02158370,1601151245.864
Holon_DESCENDING_0.75,102,916,69,64987053.357971800,1611983997.864
Holon_DESCENDING_0.75,103,956,83,66599132.820778600,1623085405.864
Holon_DESCENDING_0.75,104,975,96,68394067.12359210,1634485943.864
Holon_DESCENDING_0.75,105,998,114,70033735.2555351,1646159735.864
Holon_DESCENDING_0.75,106,1020,134,71354957.82647420,1658053711.864
Holon_DESCENDING_0.75,107,1039,156,72644294.12235020,1670162557.864
Holon_DESCENDING_0.75,108,1045,181,73930040.67847200,1682485675.864
Holon_DESCENDING_0.75,109,1050,204,75078951.45779630,1695000261.864
Holon_DESCENDING_0.75,110,1059,233,76024232.31908700,1707672379.864
Holon_DESCENDING_0.75,111,1059,233,75801614.11858170,1720307397.864
Holon_DESCENDING_0.75,112,1059,233,75597081.39017600,1732908329.864
Holon_DESCENDING_0.75,113,1059,233,75399785.3309066,1745476381.864
Holon_DESCENDING_0.75,114,1059,233,75227151.27904590,1758015663.864
Holon_DESCENDING_0.75,115,1059,233,75068654.29780310,1770528531.864
Holon_DESCENDING_0.75,116,1059,233,74902596.78125130,1783013725.864
Holon_DESCENDING_0.75,117,1059,233,74752320.46914480,1795473875.864
Holon_DESCENDING_0.75,118,1059,233,74605992.55852000,1807909639.864
Holon_DESCENDING_0.75,119,1059,233,74454072.11258620,1820320085.864
Holon_DESCENDING_0.75,120,1059,233,74401459.83011430,1832721763.864
Holon_DESCENDING_0.75,121,1059,233,74353779.94912420,1845115495.864
Holon_DESCENDING_0.75,122,1060,233,74294351.13134340,1857499323.864
Holon_DESCENDING_0.75,123,1061,233,74294447.3989979,1869883167.864
Holon_DESCENDING_0.75,124,1064,233,74275654.32837990,1882263879.864
Holon_DESCENDING_0.75,125,1071,233,74269739.26517070,1894643605.864
Holon_DESCENDING_0.75,126,1078,233,74246062.59603440,1907019385.864
Holon_DESCENDING_0.75,127,1080,234,74264640.73727040,1919398261.864
Holon_DESCENDING_0.75,128,1083,234,49520010.87850630,1931780417.864
Holon_DESCENDING_0.75,129,1085,235,24759372.484433200,1944164409.864
Holon_DESCENDING_0.75,130,1091,235,49560177.56986850,1956556605.864
Holon_DESCENDING_0.75,131,1092,235,24784915.97875890,1968953365.864
Holon_DESCENDING_0.75,132,1099,236,49582150.119994900,1981351053.864
Holon_DESCENDING_0.75,133,1100,236,49606545.1980215,1993754839.864
Holon_DESCENDING_0.75,134,1105,237,74446461.0790116,2006164015.864
Holon_DESCENDING_0.75,135,1109,237,74485308.9600017,2018579665.864
Holon_DESCENDING_0.75,136,1107,239,74545914.31309150,2031005415.864
Holon_DESCENDING_0.75,137,1106,241,74572412.98963640,2043435581.864
Holon_DESCENDING_0.75,138,1103,246,74600304.46914480,2055870395.864
Holon_DESCENDING_0.75,139,1097,252,49741614.744208000,2068307943.864
Holon_DESCENDING_0.75,140,1098,254,74618079.81482590,2080745719.864
Holon_DESCENDING_0.35,21,4,0,60592060.24974440,30296030.0
Holon_DESCENDING_0.35,22,4,0,-30265615.7799651,60561646.0
Holon_DESCENDING_0.35,23,4,0,-30240023.805124500,90801670.0
Holon_DESCENDING_0.35,24,4,0,120822656.16115100,121007334.0
Holon_DESCENDING_0.35,25,4,0,60351816.1322447,151183242.0
Holon_DESCENDING_0.35,26,4,0,120580880.10226800,181328462.0
Holon_DESCENDING_0.35,27,4,0,120382504.05382200,211424088.0
Holon_DESCENDING_0.35,28,4,0,120163960.00029200,241465078.0
Holon_DESCENDING_0.35,29,4,0,-29976113.83866940,271440910.0
Holon_DESCENDING_0.35,30,4,0,-29902279.838005700,301342872.0
Holon_DESCENDING_0.35,31,4,0,-29824391.978566300,331166908.0
Holon_DESCENDING_0.35,32,4,0,-29755157.970504600,360921676.0
Holon_DESCENDING_0.35,33,4,0,-29669273.858208100,390590518.0
Holon_DESCENDING_0.35,34,4,0,-29562630.05055430,420152664.0
Holon_DESCENDING_0.35,35,5,0,-29452879.58116580,449605006.0
Holon_DESCENDING_0.35,36,6,0,-29325601.676675100,478930008.0
Holon_DESCENDING_0.35,37,7,0,58393237.96016250,508126958.0
Holon_DESCENDING_0.35,38,8,0,-29065952.27657130,537192184.0
Holon_DESCENDING_0.35,39,11,0,-28892366.721110900,566083740.0
Holon_DESCENDING_0.35,40,17,0,57456458.722716800,594812414.0
Holon_DESCENDING_0.35,41,18,0,-28541432.948455400,623352866.0
Holon_DESCENDING_0.35,42,20,0,-28322643.74202530,651674422.0
Holon_DESCENDING_0.35,43,24,0,-28081976.70641140,679755194.0
Holon_DESCENDING_0.35,44,27,0,-27809963.328501300,707563820.0
Holon_DESCENDING_0.35,45,30,0,-27494077.229009300,735056406.0
Holon_DESCENDING_0.35,46,34,0,-27158596.76502740,762213348.0
Holon_DESCENDING_0.35,47,42,0,-26799243.00716780,789010762.0
Holon_DESCENDING_0.35,48,43,2,-26415781.829001800,815424528.0
Holon_DESCENDING_0.35,49,49,4,-25999095.907060200,841421406.0
Holon_DESCENDING_0.35,50,53,6,-25534507.672414100,866953470.0
Holon_DESCENDING_0.35,51,53,6,49802288.52656990,891855990.0
Holon_DESCENDING_0.35,52,53,6,-24280581.133221600,916133514.0
Holon_DESCENDING_0.35,53,53,6,47348504.71606830,939809442.0
Holon_DESCENDING_0.35,54,53,6,46207505.821582500,962915010.0
Holon_DESCENDING_0.35,55,53,6,89802602.11000540,985366648.0
Holon_DESCENDING_0.35,56,53,6,43444134.26526560,1007090868.0
Holon_DESCENDING_0.35,57,53,6,41873506.316954800,1028029966.0
Holon_DESCENDING_0.35,58,54,6,80084310.26573670,1048052328.0
Holon_DESCENDING_0.35,59,55,6,38076634.6314578,1067093454.0
Holon_DESCENDING_0.35,60,56,6,36150187.82972980,1085171592.0
Holon_DESCENDING_0.35,61,60,6,34167815.91300210,1102258786.0
Holon_DESCENDING_0.35,62,66,6,32120936.606223500,1118322790.0
Holon_DESCENDING_0.35,63,74,6,-15123399.76443320,1133438656.0
Holon_DESCENDING_0.35,64,92,6,28239196.192410400,1147562262.0
Holon_DESCENDING_0.35,65,114,6,26400890.683896400,1160766938.0
Holon_DESCENDING_0.35,66,135,6,24617586.424208700,1173080178.0
Holon_DESCENDING_0.35,67,173,6,22911115.978245200,1184540388.0
Holon_DESCENDING_0.35,68,208,7,21384553.42738310,1195237500.0
Holon_DESCENDING_0.35,69,238,7,20096387.752795600,1205290684.0
Holon_DESCENDING_0.35,70,279,10,19120545.43733970,1214856062.0
Holon_DESCENDING_0.35,71,321,13,36518913.88718960,1223988394.0
Holon_DESCENDING_0.35,72,379,15,35343725.13127310,1232826962.0
Holon_DESCENDING_0.35,73,422,21,34826319.46683510,1241536192.0
Holon_DESCENDING_0.35,74,476,25,34981781.31015100,1250284280.0
Holon_DESCENDING_0.35,75,534,35,35642507.657853700,1259197526.0
Holon_DESCENDING_0.35,76,601,44,36731967.937647500,1268383100.0
Holon_DESCENDING_0.35,77,661,53,38501685.85162390,1278011046.0
Holon_DESCENDING_0.35,78,719,72,40800135.61565020,1288213530.0
Holon_DESCENDING_0.35,79,776,89,65088276.0407475,1299063154.0
Holon_DESCENDING_0.35,80,859,105,69366201.00048710,1310625704.0
Holon_DESCENDING_0.35,81,859,105,65838861.40727700,1321600412.0
Holon_DESCENDING_0.35,82,859,105,62573262.95865830,1332030898.0
Holon_DESCENDING_0.35,83,859,105,59724290.50197800,1341986594.0
Holon_DESCENDING_0.35,84,859,105,57133123.18988910,1351510464.0
Holon_DESCENDING_0.35,85,859,105,54783307.282647000,1360642730.0
Holon_DESCENDING_0.35,86,859,105,52450929.1151497,1369386298.0
Holon_DESCENDING_0.35,87,859,105,50460854.649743900,1377798214.0
Holon_DESCENDING_0.35,88,859,105,48810131.88642950,1385935032.0
Holon_DESCENDING_0.35,89,859,105,47466862.14867590,1393847990.0
Holon_DESCENDING_0.35,90,860,105,46590622.6853096,1401614920.0
Holon_DESCENDING_0.35,91,870,105,46214393.778779400,1409319150.0
Holon_DESCENDING_0.35,92,886,105,46324733.55551390,1417041768.0
Holon_DESCENDING_0.35,93,908,105,46710208.8857175,1424828626.0
Holon_DESCENDING_0.35,94,923,105,47292978.93683920,1432712604.0
Holon_DESCENDING_0.35,95,951,105,48017050.90592000,1440717250.0
Holon_DESCENDING_0.35,96,979,105,48958808.67392900,1448878842.0
Holon_DESCENDING_0.35,97,1028,105,49959423.006835900,1457207188.0
Holon_DESCENDING_0.35,98,1072,106,50990459.34714070,1465707358.0
Holon_DESCENDING_0.35,99,1121,108,52016684.62423120,1474378550.0
Holon_DESCENDING_0.35,100,1160,113,53038288.69688290,1483219994.0
Holon_DESCENDING_0.35,101,1198,118,54075253.840146900,1492234250.0
Holon_DESCENDING_0.35,102,1239,124,55004295.08764570,1501403332.0
Holon_DESCENDING_0.35,103,1286,130,55833933.242338400,1510710674.0
Holon_DESCENDING_0.35,104,1324,141,56601130.44544960,1520145870.0
Holon_DESCENDING_0.35,105,1337,159,57319805.894020100,1529700834.0
Holon_DESCENDING_0.35,106,1368,170,57915687.974733600,1539355102.0
Holon_DESCENDING_0.35,107,1386,187,58597364.88060000,1549122972.0
Holon_DESCENDING_0.35,108,1393,208,59147702.27738490,1558982556.0
Holon_DESCENDING_0.35,109,1371,237,59733956.34330250,1568939840.0
Holon_DESCENDING_0.35,110,1375,256,60154502.09717950,1578967208.0
Holon_DESCENDING_0.35,111,1375,256,59876967.34666960,1588948324.0
Holon_DESCENDING_0.35,112,1375,256,59608313.399118900,1598884668.0
Holon_DESCENDING_0.35,113,1375,256,59328150.51478250,1608774322.0
Holon_DESCENDING_0.35,114,1375,256,59067057.102537900,1618620464.0
Holon_DESCENDING_0.35,115,1375,256,58802351.556466800,1628422492.0
Holon_DESCENDING_0.35,116,1375,256,58573156.82075280,1638186324.0
Holon_DESCENDING_0.35,117,1375,256,58373880.36008970,1647916946.0
Holon_DESCENDING_0.35,118,1375,256,58144685.6243757,1657609372.0
Holon_DESCENDING_0.35,119,1375,256,58016443.18590650,1667280426.0
Holon_DESCENDING_0.35,120,1375,256,38582259.94447810,1676928464.0
Holon_DESCENDING_0.35,121,1377,256,57811442.85907000,1686565354.0
Holon_DESCENDING_0.35,122,1377,256,38477375.498610900,1696187174.0
Holon_DESCENDING_0.35,123,1378,256,38477655.63243740,1705809064.0
Holon_DESCENDING_0.35,124,1381,256,57696726.16034560,1715426836.0
Holon_DESCENDING_0.35,125,1388,256,57756240.18253940,1725054526.0
Holon_DESCENDING_0.35,126,1393,256,38562556.61361070,1734697638.0
Holon_DESCENDING_0.35,127,1402,256,57881520.89605960,1744346206.0
Holon_DESCENDING_0.35,128,1413,256,38613574.51677380,1754002070.0
Holon_DESCENDING_0.35,129,1424,256,58024324.55376350,1763674436.0
Holon_DESCENDING_0.35,130,1434,256,58063077.50534500,1773353260.0
Holon_DESCENDING_0.35,131,1442,257,58118067.92901840,1783041248.0
Holon_DESCENDING_0.35,132,1451,259,58188251.95861010,1792740932.0
Holon_DESCENDING_0.35,133,1457,261,38845132.52350800,1802454676.0
Holon_DESCENDING_0.35,134,1463,263,38856879.735344700,1812171356.0
Holon_DESCENDING_0.35,135,1470,264,38882076.41927320,1821894334.0
Holon_DESCENDING_0.35,136,1479,267,58332103.497283300,1831617990.0
Holon_DESCENDING_0.35,137,1481,272,58408803.92835460,1841354428.0
Holon_DESCENDING_0.35,138,1473,279,38980270.352028000,1851101950.0
Holon_DESCENDING_0.35,139,1471,283,39011659.30360960,1860857318.0
Holon_DESCENDING_0.35,140,1470,285,39052344.79049720,1870622856.0